DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
66;RISARALDA;66001;PEREIRA;2;BARRIDO;RISARALDA;SI
15;BOYACÁ;15542;PESCA;2;BARRIDO;BOYACÁ;SI
86;CAUCA;19533;PIAMONTE;2;BARRIDO;PUTUMAYO;SI
73;TOLIMA;73547;PIEDRAS;2;BARRIDO;TOLIMA;SI
19;CAUCA;19548;PIENDAMÓ - TUNÍA;2;BARRIDO;CAUCA;SI
63;QUINDIO;63548;PIJAO;2;BARRIDO;QUINDIO;SI
47;MAGDALENA;47545;PIJIÑO DEL CARMEN;2;BARRIDO;MAGDALENA;SI
85;BOYACÁ;15550;PISBA;2;BARRIDO;CASANARE;SI
41;HUILA;41548;PITAL;2;BARRIDO;HUILA;SI
41;HUILA;41551;PITALITO;2;BARRIDO;HUILA;SI
47;MAGDALENA;47551;PIVIJAY;2;BARRIDO;MAGDALENA;SI
73;TOLIMA;73555;PLANADAS;2;BARRIDO;TOLIMA;SI
23;CÓRDOBA;23555;PLANETA RICA;2;BARRIDO;CÓRDOBA;SI
47;MAGDALENA;47555;PLATO;2;BARRIDO;MAGDALENA;SI
52;NARIÑO;52540;POLICARPA;2;MIXTO;NARIÑO;NO
19;CAUCA;19001;POPAYÁN;2;BARRIDO;CAUCA;SI
85;CASANARE;85263;PORE;2;BARRIDO;CASANARE;SI
52;NARIÑO;52560;POTOSÍ;2;BARRIDO;NARIÑO;SI
73;TOLIMA;73563;PRADO;2;BARRIDO;TOLIMA;SI
52;NARIÑO;52565;PROVIDENCIA;2;BARRIDO;NARIÑO;SI
23;CÓRDOBA;23570;PUEBLO NUEVO;2;BARRIDO;CÓRDOBA;SI
66;RISARALDA;66572;PUEBLO RICO;2;MIXTO;RISARALDA;SI
47;MAGDALENA;47570;PUEBLOVIEJO;2;BARRIDO;MAGDALENA;SI
52;NARIÑO;52573;PUERRES;2;BARRIDO;NARIÑO;SI
17;BOYACÁ;15572;PUERTO BOYACÁ;2;BARRIDO;CALDAS;SI
86;PUTUMAYO;86569;PUERTO CAICEDO;2;MIXTO;PUTUMAYO;SI
50;META;50450;PUERTO CONCORDIA;2;MIXTO;META;SI
23;CÓRDOBA;23574;PUERTO ESCONDIDO;2;BARRIDO;CÓRDOBA;NO
50;META;50568;PUERTO GAITÁN;2;MIXTO;META;SI
23;CÓRDOBA;23580;PUERTO LIBERTADOR;2;MIXTO;CÓRDOBA;NO
50;META;50577;PUERTO LLERAS;2;MIXTO;META;SI
50;META;50573;PUERTO LÓPEZ;2;BARRIDO;META;SI
50;META;50590;PUERTO RICO;2;MIXTO;META;SI
81;ARAUCA;81591;PUERTO RONDÓN;2;BARRIDO;ARAUCA;SI
19;CAUCA;19573;PUERTO TEJADA;2;BARRIDO;CAUCA;SI
52;NARIÑO;52585;PUPIALES;2;BARRIDO;NARIÑO;SI
19;CAUCA;19585;PURACÉ;2;BARRIDO;CAUCA;SI
73;TOLIMA;73585;PURIFICACIÓN;2;BARRIDO;TOLIMA;SI
23;CÓRDOBA;23586;PURÍSIMA DE LA CONCEPCIÓN;2;BARRIDO;CÓRDOBA;NO
63;QUINDIO;63594;QUIMBAYA;2;BARRIDO;QUINDIO;SI
66;RISARALDA;66594;QUINCHÍA;2;BARRIDO;RISARALDA;SI
15;BOYACÁ;15580;QUÍPAMA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15599;RAMIRIQUÍ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15600;RÁQUIRA;2;BARRIDO;BOYACÁ;SI
85;CASANARE;85279;RECETOR;2;BARRIDO;CASANARE;SI
47;MAGDALENA;47605;REMOLINO;2;BARRIDO;MAGDALENA;SI
50;META;50606;RESTREPO;2;BARRIDO;META;SI
20;CESAR;20614;RÍO DE ORO;2;BARRIDO;CESAR;SI
73;TOLIMA;73616;RIOBLANCO;2;BARRIDO;TOLIMA;SI
44;LA GUAJIRA;44001;RIOHACHA;2;MIXTO;LA GUAJIRA;SI
17;CALDAS;17614;RIOSUCIO;2;MIXTO;CALDAS;SI
17;CALDAS;17616;RISARALDA;2;BARRIDO;CALDAS;SI
41;HUILA;41615;RIVERA;2;BARRIDO;HUILA;SI
73;TOLIMA;73622;RONCESVALLES;2;BARRIDO;TOLIMA;SI
15;BOYACÁ;15621;RONDÓN;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19622;ROSAS;2;BARRIDO;CAUCA;SI
73;TOLIMA;73624;ROVIRA;2;BARRIDO;TOLIMA;SI
85;CASANARE;85300;SABANALARGA;2;BARRIDO;CASANARE;SI
47;MAGDALENA;47660;SABANAS DE SAN ÁNGEL;2;BARRIDO;MAGDALENA;SI
15;BOYACÁ;15632;SABOYÁ;2;BARRIDO;BOYACÁ;SI
85;CASANARE;85315;SÁCAMA;2;MIXTO;CASANARE;SI
