ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
54;NORTE DE SANTANDER;54223;CUCUTILLA;BARRIDO;2;1534;1871;81,99%;SI;;;
50;META;50450;PUERTO CONCORDIA;MIXTO;3;701;855;81,99%;SI;;;
15;BOYACÁ;15762;SORA;BARRIDO;3;451;550;82,00%;SI;;;
15;BOYACÁ;15764;SORACÁ;BARRIDO;3;608;741;82,05%;SI;;;
68;SANTANDER;68167;CHARALÁ;BARRIDO;2;1857;2259;82,20%;SI;;;
05;ANTIOQUIA;5364;JARDÍN;BARRIDO;2;865;1051;82,30%;SI;;;
50;META;50270;EL DORADO;BARRIDO;3;655;795;82,39%;SI;;;
20;CESAR;20400;LA JAGUA DE IBIRICO;MIXTO;3;2035;2469;82,42%;SI;;;
15;BOYACÁ;15187;CHIVATÁ;BARRIDO;3;381;462;82,47%;SI;;;
50;META;50606;RESTREPO;BARRIDO;3;873;1058;82,51%;SI;;;
68;SANTANDER;68179;CHIPATÁ;BARRIDO;2;657;796;82,54%;SI;;;
68;SANTANDER;68549;PINCHOTE;BARRIDO;2;857;1038;82,56%;SI;;;
05;ANTIOQUIA;5284;FRONTINO;MIXTO;2;2604;3147;82,75%;SI;;;
68;SANTANDER;68322;GUAPOTÁ;BARRIDO;2;470;568;82,75%;SI;;;
05;ANTIOQUIA;5240;EBÉJICO;BARRIDO;2;1471;1777;82,78%;SI;;;
68;SANTANDER;68895;ZAPATOCA;BARRIDO;2;635;767;82,79%;SI;;;
25;CUNDINAMARCA;25328;GUAYABAL DE SIQUIMA;BARRIDO;2;549;663;82,81%;SI;;;
05;ANTIOQUIA;5756;SONSON;BARRIDO;2;2470;2981;82,86%;SI;;;
73;TOLIMA;73349;HONDA;BARRIDO;3;2505;3020;82,95%;SI;;;
41;HUILA;41026;ALTAMIRA;BARRIDO;3;644;776;82,99%;SI;;;
54;NORTE DE SANTANDER;54743;SILOS;BARRIDO;2;605;729;82,99%;SI;;;
19;CAUCA;19450;MERCADERES;BARRIDO;3;1517;1827;83,03%;SI;;;
19;CAUCA;19100;BOLÍVAR;BARRIDO;3;2710;3261;83,10%;SI;;;
